"year","size","farmStay","habFact","ppue"
18,0.6,3,4,11.0581973374853
19,0.6,3,4,10.9806671132117
20,0.6,3,4,10.9285689582142
21,0.6,3,4,10.9038079294105
22,0.6,3,4,10.8951772151199
23,0.6,3,4,10.8976932324354
24,0.6,3,4,10.9064168249846
25,0.6,3,4,10.9182444552749
26,0.6,3,4,10.9309207370558
27,0.6,3,4,10.9431084459166
28,0.6,3,4,10.9540543798947
29,0.6,3,4,10.963429367127
30,0.6,3,4,10.9711897098169
31,0.6,3,4,10.9774598413834
32,0.6,3,4,10.9824435087304
33,0.6,3,4,10.9863672366975
34,0.6,3,4,10.9894461323984
35,0.6,3,4,10.9918667514742
36,0.6,3,4,10.9937812736691
37,0.6,3,4,10.9953084835337
38,0.6,3,4,10.9965381602062
39,0.6,3,4,10.9975366920405
40,0.6,3,4,10.9983525861975
41,0.6,3,4,10.9990211690966
42,0.6,3,4,10.9995730460523
43,0.6,3,4,11.0000309322699
44,0.6,3,4,11.0004120058114
45,0.6,3,4,11.0007295740521
46,0.6,3,4,11.0009942090626
47,0.6,3,4,11.00121449503
48,0.6,3,4,11.0013975368526
49,0.6,3,4,11.0015493114539
50,0.6,3,4,11.0016748869128
2,0.6,4,1,18.1042974803516
3,0.6,4,1,17.71653092808
4,0.6,4,1,17.3434447503972
5,0.6,4,1,16.991315296066
6,0.6,4,1,16.6656571382512
7,0.6,4,1,16.3702117210169
8,0.6,4,1,16.1067267225085
9,0.6,4,1,15.8751848059602
10,0.6,4,1,15.6742239763727
11,0.6,4,1,15.5015913463437
12,0.6,4,1,15.3545385213231
13,0.6,4,1,15.2301271680323
14,0.6,4,1,15.125444338195
15,0.6,4,1,15.0377406616062
16,0.6,4,1,12.372112734739
17,0.6,4,1,12.2587307842265
18,0.6,4,1,12.1188115881386
19,0.6,4,1,12.0282812679104
20,0.6,4,1,11.9556657619709
21,0.6,4,1,11.9060972045205
22,0.6,4,1,11.870700565054
23,0.6,4,1,11.8470335574245
24,0.6,4,1,11.83112488027
25,0.6,4,1,11.8206418862672
26,0.6,4,1,11.813573487854
27,0.6,4,1,11.8086460845784
28,0.6,4,1,11.8049656988875
29,0.6,4,1,11.8020098010666
30,0.6,4,1,11.7994781047611
31,0.6,4,1,11.7972232319581
32,0.6,4,1,11.7951808739677
33,0.6,4,1,11.7933310493524
34,0.6,4,1,11.7916708929047
35,0.6,4,1,11.79020094357
36,0.6,4,1,11.7889182729806
37,0.6,4,1,11.78781460016
38,0.6,4,1,11.7868767007702
39,0.6,4,1,11.7860879395109
40,0.6,4,1,11.7854299887649
41,0.6,4,1,11.7848843653088
42,0.6,4,1,11.7844342251427
43,0.6,4,1,11.7840641142362
44,0.6,4,1,11.7837604261261
45,0.6,4,1,11.7835114324415
46,0.6,4,1,11.7833072283168
47,0.6,4,1,11.7831395710316
48,0.6,4,1,11.7830016862906
49,0.6,4,1,11.7828880577279
50,0.6,4,1,11.7827942198444
2,0.6,4,2,18.1042974803516
3,0.6,4,2,17.71653092808
4,0.6,4,2,17.3434447503972
5,0.6,4,2,16.991315296066
6,0.6,4,2,16.6656571382512
7,0.6,4,2,16.3702117210169
8,0.6,4,2,16.1067267225085
9,0.6,4,2,15.8751848059602
10,0.6,4,2,15.6742239763727
11,0.6,4,2,15.5015913463437
12,0.6,4,2,15.3545385213231
13,0.6,4,2,15.2301271680323
14,0.6,4,2,15.125444338195
15,0.6,4,2,15.0377406616062
16,0.6,4,2,12.2285571860997
17,0.6,4,2,12.2114139412768
18,0.6,4,2,12.1322560015294
19,0.6,4,2,12.0928272794884
20,0.6,4,2,12.0557542719878
21,0.6,4,2,12.0312107743468
22,0.6,4,2,12.0117879098313
23,0.6,4,2,11.9981373012865
24,0.6,4,2,11.9880120686431
25,0.6,4,2,11.9806661437619
26,0.6,4,2,11.975183558408
27,0.6,4,2,11.9710518215218
28,0.6,4,2,11.967841801041
29,0.6,4,2,11.9652886739055
30,0.6,4,2,11.9632078135397
31,0.6,4,2,11.9614829530919
32,0.6,4,2,11.9600360296938
33,0.6,4,2,11.958815201808
34,0.6,4,2,11.9577833568317
35,0.6,4,2,11.956912444263
36,0.6,4,2,11.9561795760351
37,0.6,4,2,11.9555651833612
38,0.6,4,2,11.95505199231
39,0.6,4,2,11.9546245974876
40,0.6,4,2,11.9542692300989
41,0.6,4,2,11.9539735429596
42,0.6,4,2,11.9537285139505
43,0.6,4,2,11.9535259546302
44,0.6,4,2,11.9533587960741
45,0.6,4,2,11.9532209898551
46,0.6,4,2,11.9531074311109
47,0.6,4,2,11.953013847188
48,0.6,4,2,11.9529366906901
49,0.6,4,2,11.9528730371491
50,0.6,4,2,11.9528204847543
2,0.6,4,3,18.1042974803516
3,0.6,4,3,17.71653092808
4,0.6,4,3,17.3434447503972
5,0.6,4,3,16.991315296066
6,0.6,4,3,16.6656571382512
7,0.6,4,3,16.3702117210169
8,0.6,4,3,16.1067267225085
9,0.6,4,3,15.8751848059602
10,0.6,4,3,15.6742239763727
11,0.6,4,3,15.5015913463437
12,0.6,4,3,15.3545385213231
13,0.6,4,3,15.2301271680323
14,0.6,4,3,15.125444338195
15,0.6,4,3,15.0377406616062
16,0.6,4,3,11.9284071658512
17,0.6,4,3,11.9035915373896
18,0.6,4,3,11.7879169213019
19,0.6,4,3,11.7425935095567
20,0.6,4,3,11.6963172132584
21,0.6,4,3,11.6723622553023
22,0.6,4,3,11.6551109297176
23,0.6,4,3,11.6465007162647
24,0.6,4,3,11.6420689485985
25,0.6,4,3,11.6408964072647
26,0.6,4,3,11.6413211611201
27,0.6,4,3,11.642633172559
28,0.6,4,3,11.6442096501819
29,0.6,4,3,11.6457566801724
30,0.6,4,3,11.647105703165
31,0.6,4,3,11.648208432924
32,0.6,4,3,11.6490672527391
33,0.6,4,3,11.6497155525435
34,0.6,4,3,11.6501946741833
35,0.6,4,3,11.65054536322
36,0.6,4,3,11.6508021047723
37,0.6,4,3,11.6509919595055
38,0.6,4,3,11.6511347387663
39,0.6,4,3,11.6512442080969
40,0.6,4,3,11.6513293835537
41,0.6,4,3,11.6513955746962
42,0.6,4,3,11.6514488985589
43,0.6,4,3,11.651493036824
44,0.6,4,3,11.6515302962596
45,0.6,4,3,11.6515620917841
46,0.6,4,3,11.6515893405055
47,0.6,4,3,11.6516126690328
48,0.6,4,3,11.6516325529886
49,0.6,4,3,11.6516493980062
50,0.6,4,3,11.6516635732276
2,0.6,4,4,18.1042974803516
3,0.6,4,4,17.71653092808
4,0.6,4,4,17.3434447503972
5,0.6,4,4,16.991315296066
6,0.6,4,4,16.6656571382512
7,0.6,4,4,16.3702117210169
8,0.6,4,4,16.1067267225085
9,0.6,4,4,15.8751848059602
10,0.6,4,4,15.6742239763727
11,0.6,4,4,15.5015913463437
12,0.6,4,4,15.3545385213231
13,0.6,4,4,15.2301271680323
14,0.6,4,4,15.125444338195
15,0.6,4,4,15.0377406616062
16,0.6,4,4,12.0243925158067
17,0.6,4,4,12.0247012512918
18,0.6,4,4,11.9247768949723
19,0.6,4,4,11.8909778983389
20,0.6,4,4,11.8541037244642
21,0.6,4,4,11.8352171869884
22,0.6,4,4,11.8211011298443
23,0.6,4,4,11.813411481395
24,0.6,4,4,11.8088535195259
25,0.6,4,4,11.8068082464462
26,0.6,4,4,11.8060993721957
27,0.6,4,4,11.8062140163867
28,0.6,4,4,11.8066895052513
29,0.6,4,4,11.8072889970998
30,0.6,4,4,11.8078668748785
31,0.6,4,4,11.8083639433096
32,0.6,4,4,11.8087609036272
33,0.6,4,4,11.8090638093232
34,0.6,4,4,11.8092879539673
35,0.6,4,4,11.809451225526
36,0.6,4,4,11.8095697163525
37,0.6,4,4,11.8096563834117
38,0.6,4,4,11.8097207297827
39,0.6,4,4,11.8097692205329
40,0.6,4,4,11.8098057878728
41,0.6,4,4,11.809832096186
42,0.6,4,4,11.8098521580754
43,0.6,4,4,11.8098682157674
44,0.6,4,4,11.8098816060018
45,0.6,4,4,11.809893059016
46,0.6,4,4,11.8099029834092
47,0.6,4,4,11.8099116012415
48,0.6,4,4,11.8099190466673
49,0.6,4,4,11.8099254261214
50,0.6,4,4,11.8099308404707
2,0.6,5,1,18.1042974803516
3,0.6,5,1,17.71653092808
4,0.6,5,1,17.3434447503972
5,0.6,5,1,16.991315296066
6,0.6,5,1,16.6656571382512
7,0.6,5,1,16.3702117210169
8,0.6,5,1,16.1067267225085
9,0.6,5,1,15.8751848059602
10,0.6,5,1,15.6742239763727
11,0.6,5,1,15.5015913463437
12,0.6,5,1,15.3545385213231
13,0.6,5,1,15.2301271680323
14,0.6,5,1,15.125444338195
15,0.6,5,1,15.0377406616062
16,0.6,5,1,12.372112734739
17,0.6,5,1,12.3239313979556
18,0.6,5,1,12.2262940032415
19,0.6,5,1,12.1761617373285
20,0.6,5,1,12.1296506633631
21,0.6,5,1,12.0983016647472
22,0.6,5,1,12.072888739147
23,0.6,5,1,12.0540007032025
24,0.6,5,1,12.0392534890368
25,0.6,5,1,12.0279619571813
26,0.6,5,1,12.0191076707729
27,0.6,5,1,12.0121195236371
28,0.6,5,1,12.0064800059091
29,0.6,5,1,12.0018559051698
30,0.6,5,1,11.9980037972494
31,0.6,5,1,11.9947628233023
32,0.6,5,1,11.9920189741782
33,0.6,5,1,11.9896913918129
34,0.6,5,1,11.9877181879035
35,0.6,5,1,11.9860496407859
36,0.6,5,1,11.9846435118626
37,0.6,5,1,11.9834629235003
38,0.6,5,1,11.9824751876933
39,0.6,5,1,11.9816513283626
40,0.6,5,1,11.9809658148
41,0.6,5,1,11.9803964007217
42,0.6,5,1,11.9799244192687
43,0.6,5,1,11.9795336496709
44,0.6,5,1,11.9792103477921
45,0.6,5,1,11.9789429240863
46,0.6,5,1,11.9787216973144
47,0.6,5,1,11.9785386170935
48,0.6,5,1,11.9783870234603
49,0.6,5,1,11.9782614232638
50,0.6,5,1,11.9781572935661
2,0.6,5,2,18.1042974803516
3,0.6,5,2,17.71653092808
4,0.6,5,2,17.3434447503972
5,0.6,5,2,16.991315296066
6,0.6,5,2,16.6656571382512
7,0.6,5,2,16.3702117210169
8,0.6,5,2,16.1067267225085
9,0.6,5,2,15.8751848059602
10,0.6,5,2,15.6742239763727
11,0.6,5,2,15.5015913463437
12,0.6,5,2,15.3545385213231
13,0.6,5,2,15.2301271680323
14,0.6,5,2,15.125444338195
15,0.6,5,2,15.0377406616062
16,0.6,5,2,12.3335818679989
17,0.6,5,2,12.3460461085899
18,0.6,5,2,12.2729001906503
19,0.6,5,2,12.2432981513597
20,0.6,5,2,12.2084366712009
21,0.6,5,2,12.1853063622688
22,0.6,5,2,12.164848465175
23,0.6,5,2,12.1494246155283
24,0.6,5,2,12.1367552203747
25,0.6,5,2,12.1267611379574
26,0.6,5,2,12.1186502215426
27,0.6,5,2,12.1121234099232
28,0.6,5,2,12.1067989192307
29,0.6,5,2,12.1024465955683
30,0.6,5,2,12.0988645374999
31,0.6,5,2,12.095908765151
32,0.6,5,2,12.0934618344404
33,0.6,5,2,12.0914332772
34,0.6,5,2,12.0897496499604
35,0.6,5,2,12.0883518592653
36,0.6,5,2,12.0871912851079
37,0.6,5,2,12.0862278672086
38,0.6,5,2,12.0854282967809
39,0.6,5,2,12.0847648258034
40,0.6,5,2,12.0842142364281
41,0.6,5,2,12.0837569296381
42,0.6,5,2,12.0833775095117
43,0.6,5,2,12.0830628755853
44,0.6,5,2,12.0828020907392
45,0.6,5,2,12.0825860013203
46,0.6,5,2,12.0824069825819
47,0.6,5,2,12.0822586872804
48,0.6,5,2,12.0821358432001
49,0.6,5,2,12.082034077811
50,0.6,5,2,12.0819497683419
2,0.6,5,3,18.1042974803516
3,0.6,5,3,17.71653092808
4,0.6,5,3,17.3434447503972
5,0.6,5,3,16.991315296066
6,0.6,5,3,16.6656571382512
7,0.6,5,3,16.3702117210169
8,0.6,5,3,16.1067267225085
9,0.6,5,3,15.8751848059602
10,0.6,5,3,15.6742239763727
11,0.6,5,3,15.5015913463437
12,0.6,5,3,15.3545385213231
